"block" "pop" "rec" "env" "generation" "rel.fitness" "fitness.gain" "fitness.gain.rel"
"A" "LR2" "mut" "ngm" "G40" 1.79103806994848 -0.0524487369972886 -0.0284508339303953
"A" "HR3" "wt" "ngm" "G40" 2.70647955465507 0.297423335171981 0.123460520666387
"A" "LR3" "mut" "ngm" "G40" 2.48247427783498 0.638987470889212 0.346618955167826
"A" "HR4" "wt" "ngm" "G40" 2.58142078348489 0.172364564001798 0.0715485851296498
"A" "LR4" "mut" "ngm" "G40" 2.463541711493 0.620054904547234 0.336348978582886
"A" "SHR1" "wt" "salt" "G40" 2.87913912324154 0.356177006083631 0.141174139580367
"A" "SLR1" "mut" "salt" "G40" 3.05574728218286 0.351130076174194 0.129826163715188
"A" "SHR2" "wt" "salt" "G40" 2.83669068643713 0.31372856927922 0.124349298447902
"A" "SLR2" "mut" "salt" "G40" 3.09669241553892 0.392075209530253 0.1449651391181
"A" "SHR3" "wt" "salt" "G40" 3.02926571407871 0.506303596920797 0.200678239866377
"A" "SLR4" "mut" "salt" "G40" 3.1454119972797 0.440794791271037 0.162978624217783
"A" "SHR5" "wt" "salt" "G40" 3.2084932277225 0.685531110564583 0.271716767327773
"A" "SLR5" "mut" "salt" "G40" 2.5822554115434 -0.122361794465263 -0.0452418161776904
"A" "SHR6" "wt" "salt" "G40" 3.35469135111776 0.831729233959849 0.329663782227845
"A" "SLR6" "mut" "salt" "G40" 3.07218898254203 0.36757177653337 0.135905286602763
"A" "SHR7" "wt" "salt" "G40" 3.19595298815019 0.672990870992275 0.266746324257294
"A" "SLR7" "mut" "salt" "G40" 2.56036943867809 -0.144247767330572 -0.0533338939832618
"A" "SHR8" "wt" "salt" "G40" NA NA NA
"A" "SLR8" "mut" "salt" "G40" NA NA NA
"A" "HR0" "wt" "ngm" "G0" 2.16785993059491 -0.241196288888188 -0.100120655938839
"A" "LR0" "mut" "ngm" "G0" 1.64882043258704 -0.194666374358722 -0.105596836183081
"A" "SHR0" "wt" "salt" "G0" 2.50496465678357 -0.0179974603743389 -0.00713346437187601
"A" "SLR0" "mut" "salt" "G0" 2.66622549481549 -0.038391711193178 -0.0141948779693798
"B" "HR1" "wt" "ngm" "G40" 3.25295261277477 0.408584875665742 0.143646994140435
"B" "LR1" "mut" "ngm" "G40" 2.32908648490692 -0.262218295983043 -0.101191607377418
"B" "HR2" "wt" "ngm" "G40" 3.033556754692 0.189189017582975 0.0665135576932341
"B" "LR2" "mut" "ngm" "G40" 2.6567365621821 0.0654317812921308 0.0252505154062421
"B" "HR3" "wt" "ngm" "G40" 3.56448328602539 0.720115548916365 0.253172450074363
"B" "LR3" "mut" "ngm" "G40" 3.37836678419805 0.787062003308088 0.303731930382105
"B" "HR4" "wt" "ngm" "G40" 2.96056771498079 0.11619997787176 0.0408526564113909
"B" "LR4" "mut" "ngm" "G40" 2.72855929131886 0.137254510428891 0.0529673357765934
"B" "SHR1" "wt" "salt" "G40" 4.30183705910968 1.0470478716659 0.321694528083466
"B" "SLR1" "mut" "salt" "G40" 4.52914433662146 0.954649732015969 0.267072645958387
"B" "SHR2" "wt" "salt" "G40" 3.99665921262722 0.741870025183437 0.2279318206062
"B" "SLR2" "mut" "salt" "G40" 3.28121425631282 -0.293280348292677 -0.0820480601410909
"B" "SHR3" "wt" "salt" "G40" 4.37808785718224 1.12329866973845 0.345121789783459
"B" "SLR4" "mut" "salt" "G40" 3.07362273717828 -0.500871867427211 -0.140123828074008
"B" "SHR5" "wt" "salt" "G40" 3.16641310551299 -0.0883760819307979 -0.0271526285855109
"B" "SLR5" "mut" "salt" "G40" 3.10454654631 -0.4699480582955 -0.131472588513633
"B" "SHR6" "wt" "salt" "G40" 3.6955227597409 0.440733572297112 0.135410789121876
"B" "SLR6" "mut" "salt" "G40" 3.05780274725134 -0.516691857354155 -0.144549625753647
"B" "SHR7" "wt" "salt" "G40" 3.20532198631771 -0.0494672011260753 -0.0151982811411898
"B" "SLR7" "mut" "salt" "G40" 3.30664063648078 -0.267853968124712 -0.0749347803685591
"B" "SHR8" "wt" "salt" "G40" 3.28373890262341 0.0289497151796265 0.00889449777309936
"B" "SLR8" "mut" "salt" "G40" 4.08993239755796 0.515437792952464 0.144198788910846
"B" "HR0" "wt" "ngm" "G0" 2.48161419897049 -0.362753538138539 -0.127533980014566
"B" "LR0" "mut" "ngm" "G0" 2.74585491322006 0.154550132330091 0.0596418196230131
"B" "HR0" "wt" "ngm" "G0" 2.95177470828879 0.107406971179767 0.0377612816298269
"B" "LR0" "mut" "ngm" "G0" 2.72682981902377 0.135525038133802 0.0522999220829812
"B" "SHR0" "wt" "salt" "G0" 3.24563268522959 -0.00915650221419551 -0.0028132397174967
"B" "SLR0" "mut" "salt" "G0" 3.75845857809193 0.183963973486438 0.0514657297983925
"B" "SHR0" "wt" "salt" "G0" 3.15100081292612 -0.103788374517666 -0.0318878945887056
"B" "SLR0" "mut" "salt" "G0" 3.42171897323834 -0.152775631367154 -0.0427404845346006
"B" "HR1" "wt" "ngm" "G40" 3.27018459710436 0.42581685999533 0.14970527700758
"B" "LR1" "mut" "ngm" "G40" 2.63295942237031 0.0416546414803411 0.0160747750660326
"B" "HR2" "wt" "ngm" "G40" 2.73780257453678 -0.106565162572243 -0.037465325310065
"B" "LR2" "mut" "ngm" "G40" 3.09881880580218 0.507514024912211 0.195852695003291
"B" "HR3" "wt" "ngm" "G40" 3.42545665666143 0.581088919552401 0.204294582578486
"B" "LR3" "mut" "ngm" "G40" 2.88358559843258 0.292280817542612 0.112792914094123
"B" "HR4" "wt" "ngm" "G40" 2.96130257316992 0.116934836060894 0.0411110119606914
"B" "LR4" "mut" "ngm" "G40" 2.64674285201519 0.0554380711252236 0.0213938829326683
"B" "SHR1" "wt" "salt" "G40" 4.11615687057277 0.861367683128988 0.264646228533616
"B" "SLR1" "mut" "salt" "G40" 4.6595289793084 1.08503437470291 0.303549031324572
"B" "SHR2" "wt" "salt" "G40" 3.80971326788806 0.554924080444275 0.170494630676863
"B" "SLR2" "mut" "salt" "G40" 3.36172858985379 -0.21276601475171 -0.0595233839428868
"B" "SHR3" "wt" "salt" "G40" 3.59117271314054 0.336383525696759 0.103350326649249
"B" "SLR4" "mut" "salt" "G40" 3.52993888500832 -0.0445557195971737 -0.0124649005036311
"B" "SHR5" "wt" "salt" "G40" 3.1588560221296 -0.0959331653141891 -0.0294744635641155
